Viêm gan C,"Tôi có thể bị mệt mỏi, da vàng, buồn nôn, chán ăn, vàng mắt, tiền sử gia đình"
mụn trứng cá,"Tôi có thể bị mụn mủ, mụn đầu đen, mụn bọc"
Viêm gan D,"Tôi có thể bị đau khớp, nôn mửa, mệt mỏi, da vàng, nước tiểu sẫm màu, buồn nôn, chán ăn, đau bụng, vàng mắt"
Các vấn đề về gan,"Tôi có thể có Vấn đề về gan Vấn đề về gan Các vấn đề về gan Các vấn đề về gan có thể xảy ra bao gồm bệnh gan nhiễm mỡ và xơ gan. Gan và các tế bào của gan khi nhìn qua kính hiển vi sẽ thay đổi đáng kể khi gan bình thường trở nên nhiễm mỡ hoặc xơ gan. Các vấn đề về gan Các vấn đề về gan Các vấn đề về gan Các vấn đề về gan có thể xảy ra bao gồm bệnh gan nhiễm mỡ và xơ gan. Gan và các tế bào của gan khi nhìn qua kính hiển vi sẽ thay đổi đáng kể khi gan bình thường trở nên nhiễm mỡ hoặc xơ gan. Các vấn đề về gan Các vấn đề về gan Các vấn đề về gan có thể xảy ra bao gồm bệnh gan nhiễm mỡ và xơ gan. Gan và các tế bào của gan khi nhìn qua kính hiển vi sẽ thay đổi đáng kể khi gan bình thường trở nên nhiễm mỡ hoặc xơ gan. Các vấn đề về gan Các vấn đề về gan Các vấn đề về gan có thể xảy ra bao gồm bệnh gan nhiễm mỡ và xơ gan. Gan và các tế bào của gan khi nhìn qua kính hiển vi sẽ thay đổi đáng kể khi gan bình thường trở nên nhiễm mỡ hoặc xơ gan. Đóng Đóng Các vấn đề về gan Các vấn đề về gan Các vấn đề về gan có thể xảy ra bao gồm bệnh gan nhiễm mỡ và xơ gan. Gan và các tế bào của gan khi nhìn qua kính hiển vi sẽ thay đổi đáng kể khi gan bình thường trở nên nhiễm mỡ hoặc xơ gan. Các vấn đề về gan Các vấn đề về gan có thể xảy ra bao gồm bệnh gan nhiễm mỡ và xơ gan. Gan và các tế bào của gan khi được nhìn qua kính hiển vi sẽ thay đổi đáng kể khi gan bình thường trở nên nhiễm mỡ hoặc xơ gan. Các vấn đề về gan có thể xảy ra bao gồm bệnh gan nhiễm mỡ và xơ gan. Gan và các tế bào của gan khi được nhìn qua kính hiển vi sẽ thay đổi đáng kể khi gan bình thường trở nên nhiễm mỡ hoặc xơ gan. Bệnh gan không phải lúc nào cũng gây ra các dấu hiệu và triệu chứng đáng chú ý. Nếu các dấu hiệu và triệu chứng của bệnh gan xuất hiện, chúng có thể bao gồm: Da và mắt có màu vàng (vàng da) Đau bụng và sưng Sưng ở chân và mắt cá chân Da ngứa Màu nước tiểu sẫm Màu phân nhạt Mệt mỏi mãn tính Buồn nôn hoặc nôn Chán ăn Có xu hướng dễ bị bầm tím"
Liệt (Xuất huyết não),"Tôi có thể bị nôn mửa, đau đầu, suy nhược một bên cơ thể"
Nhau cài răng lược,"Tôi có thể bị nhau cài răng lược thường không có dấu hiệu hoặc triệu chứng trong thai kỳ mặc dù có thể bị chảy máu âm đạo trong tam cá nguyệt thứ ba. Thỉnh thoảng , nhau cài răng lược được phát hiện trong quá trình siêu âm thường quy."
Dị ứng,"Tôi có thể bị hắt hơi liên tục, run rẩy, ớn lạnh, chảy nước mắt"
(Chóng mặt) Chóng mặt tư thế Paroymsal,"Tôi có thể bị nôn mửa, đau đầu, buồn nôn, chuyển động quay tròn, mất thăng bằng, mất thăng bằng"
Bệnh xương khớp,"Tôi có thể bị đau khớp, đau cổ, đau đầu gối, đau khớp hông, sưng khớp, đau khi đi bộ"
Nhiễm trùng nấm,"Tôi có thể có Da tôi gần đây bị kích ứng, ngứa và tôi bị phát ban. Ngoài ra còn có một số đốm có màu khác với phần còn lại của da tôi và tôi có những cục u hoặc vết sưng mà trước đây không có."
Tĩnh mạch giãn,"Tôi có thể bị mệt mỏi, chuột rút, bầm tím, béo phì, chân bị sưng, mạch máu bị sưng, tĩnh mạch nổi rõ ở bắp chân"
Bệnh vẩy nến,"Tôi có thể bị phát ban da, đau khớp, bong tróc da, phủ bụi bạc, vết lõm nhỏ trên móng tay, móng bị viêm"
Phản ứng thuốc,"Tôi có thể bị ngứa, phát ban da, đau dạ dày, tiểu buốt, tiểu rắt"
Bệnh bụi phổi amiăng,"Tôi có thể có Ngón tay dùi trống Ngón tay dùi trống Ngón tay dùi trống, trong đó các đầu ngón tay xòe ra và trở nên tròn hơn bình thường, thường liên quan đến các tình trạng tim hoặc phổi. Ngón tay dùi trống Ngón tay dùi trống Ngón tay dùi trống Ngón tay dùi trống, trong đó các đầu ngón tay xòe ra và trở nên tròn hơn bình thường, thường liên quan đến các tình trạng tim hoặc phổi. Ngón tay dùi trống Ngón tay dùi trống Ngón tay dùi trống, trong đó các đầu ngón tay xòe ra và trở nên tròn hơn bình thường, thường liên quan đến các tình trạng tim hoặc phổi. Ngón tay dùi trống Ngón tay dùi trống Ngón tay dùi trống, trong đó các đầu ngón tay xòe ra và trở nên tròn hơn bình thường, thường liên quan đến các tình trạng tim hoặc phổi. Đóng Đóng Ngón tay dùi trống Ngón tay dùi trống Ngón tay dùi trống, trong đó các đầu ngón tay xòe ra và trở nên tròn hơn bình thường, thường liên quan đến các tình trạng tim hoặc phổi. Ngón tay dùi trống Ngón tay dùi trống, trong đó các đầu ngón tay xòe ra và trở nên tròn hơn bình thường, thường liên quan đến các tình trạng tim hoặc phổi. Ngón tay dùi trống, trong đó các đầu ngón tay xòe ra và trở nên tròn hơn bình thường, thường liên quan đến các bệnh về tim hoặc phổi. Các tác động của việc tiếp xúc lâu dài với amiăng thường không xuất hiện cho đến 10-40 năm sau khi tiếp xúc ban đầu. Các triệu chứng có thể khác nhau về mức độ nghiêm trọng. Các dấu hiệu và triệu chứng của bệnh bụi phổi amiăng có thể bao gồm: Khó thở Ho khan dai dẳng Ngực tức hoặc đau Có tiếng kêu khô và lạo xạo trong phổi khi bạn hít vào Đầu ngón tay và ngón chân có vẻ rộng hơn và tròn hơn bình thường (dùi trống)"
Liệt (Xuất huyết não),"Tôi có thể bị nôn mửa , đau đầu, suy yếu một bên cơ thể, rối loạn cảm giác"
Nhiễm trùng nấm,"Tôi có thể bị ngứa, phát ban da, các mảng da không đều màu"
Hội chứng ruột ngắn,"Tôi có thể có Các dấu hiệu và triệu chứng phổ biến của hội chứng ruột ngắn có thể bao gồm: Tiêu chảy Phân nhờn, có mùi hôi thối Mệt mỏi Giảm cân Suy dinh dưỡng Sưng (phù nề) ở các chi dưới Nguyên nhân Nguyên nhân của hội chứng ruột ngắn bao gồm việc cắt bỏ một phần ruột non trong quá trình phẫu thuật hoặc sinh ra với một số phần ruột non bị thiếu hoặc bị tổn thương. Các tình trạng có thể cần phẫu thuật cắt bỏ một phần ruột non bao gồm bệnh Crohn, ung thư, chấn thương và cục máu đông. Theo Nhân viên của Phòng khám Mayo Theo Nhân viên của Phòng khám Mayo Chăm sóc hội chứng ruột ngắn tại Phòng khám Mayo"
Bệnh tiểu đường,"Tôi có thể bị mệt mỏi, bồn chồn, lờ đờ, lượng đường không đều, thị lực mờ và méo mó, béo phì, đói quá mức, thèm ăn nhiều, tiểu nhiều"
Bệnh tiểu đường,"Tôi có thể bị mệt mỏi, sụt cân, bồn chồn, lờ đờ, lượng đường trong máu không đều, thị lực mờ và méo mó, béo phì, đói quá mức, thèm ăn nhiều, tiểu nhiều"
Gerd,"Tôi có thể bị đau dạ dày, loét lưỡi, nôn mửa, ho, đau ngực"
Viêm gan C,"Tôi có thể bị mệt mỏi, da vàng, buồn nôn, chán ăn, vàng mắt, tiền sử gia đình"
Viêm gan C,"Tôi có thể bị mệt mỏi, da vàng, buồn nôn, chán ăn, vàng mắt, tiền sử gia đình"
Bệnh trào ngược dạ dày thực quản,"Tôi có thể bị ợ nóng và khó tiêu. Tôi thường nôn mọi thứ tôi ăn, và tôi gặp khó khăn khi nuốt thức ăn vì thức ăn bị mắc kẹt ở cổ họng. Bụng trên của tôi đang làm phiền tôi."
Suy giáp,"Tôi có thể bị mệt mỏi, tăng cân, tay chân lạnh, thay đổi tâm trạng, lờ đờ, chóng mặt, mặt và mắt sưng húp, tuyến giáp to, móng tay giòn, sưng phù, trầm cảm, cáu kỉnh, kinh nguyệt không đều"
Bệnh loét dạ dày tá tràng,"Tôi có thể bị nôn mửa, khó tiêu, chán ăn, đau bụng, đầy hơi, ngứa bên trong"
Viêm gan A,"Tôi có thể bị đau khớp, da vàng, nước tiểu sẫm màu, buồn nôn, chán ăn, đau bụng, tiêu chảy, sốt nhẹ, vàng mắt, đau cơ"
Bệnh loét dạ dày tá tràng,"Tôi có thể bị đói và thèm ăn liên tục. Đôi khi dạ dày của tôi bị chuột rút và co thắt. Sau khi ăn, tôi cảm thấy đầy hơi và chướng bụng."
Hạ đường huyết,"Tôi có thể bị nôn mửa, mệt mỏi, lo lắng, đổ mồ hôi, đau đầu, buồn nôn, nhìn mờ và méo mó, đói quá mức, môi khô và ngứa ran, nói lắp, cáu kỉnh, hồi hộp."
Suy tuyến yên,"Tôi có thể có Các dấu hiệu và triệu chứng của suy tuyến yên thường phát triển dần dần và trở nên tồi tệ hơn theo thời gian. Đôi khi chúng rất khó phát hiện và có thể bị bỏ qua trong nhiều tháng hoặc thậm chí nhiều năm. Nhưng đối với một số người , các dấu hiệu và triệu chứng phát triển đột ngột. Các dấu hiệu và triệu chứng của suy tuyến yên khác nhau ở mỗi người, tùy thuộc vào loại hormone tuyến yên nào bị ảnh hưởng và ở mức độ nào. Ở những người bị thiếu hụt nhiều hơn một loại hormone tuyến yên, tình trạng thiếu hụt thứ hai có thể tăng lên hoặc trong một số trường hợp, che giấu các triệu chứng của tình trạng thiếu hụt đầu tiên. Thiếu hụt hormone tăng trưởng (GH) Ở trẻ em, tình trạng thiếu hụt GH có thể gây ra các vấn đề về tăng trưởng và vóc dáng thấp bé. Hầu hết người lớn bị thiếu hụt GH không có bất kỳ triệu chứng nào, nhưng đối với một số người lớn, tình trạng này có thể gây ra: GH GH Mệt mỏi Yếu cơ Thay đổi thành phần mỡ trong cơ thể Thiếu tham vọng Cô lập xã hội Thiếu hụt hormone hoàng thể (LH) và hormone kích thích nang trứng (FSH) Thiếu hụt các hormone này, được gọi là gonadotropin, ảnh hưởng đến hệ thống sinh sản. Ở phụ nữ, tình trạng thiếu hụt làm giảm sản xuất trứng và estrogen từ buồng trứng. Ở nam giới, tình trạng thiếu hụt làm giảm sản xuất tinh trùng và testosterone từ tinh hoàn. Phụ nữ và nam giới có thể bị giảm ham muốn tình dục, vô sinh hoặc mệt mỏi. Ở trẻ em và thanh thiếu niên, dậy thì muộn thường là triệu chứng duy nhất. Phụ nữ cũng có thể có các triệu chứng như: Bốc hỏa Kinh nguyệt không đều hoặc không có kinh Rụng lông mu Không có khả năng sản xuất sữa để cho con bú Nam giới cũng có thể có các triệu chứng như: Rối loạn cương dương Giảm lông trên mặt hoặc cơ thể Thay đổi tâm trạng Thiếu hụt hormone kích thích tuyến giáp (TSH) Hormone này kiểm soát tuyến giáp. Thiếu hụt TSH dẫn đến nồng độ hormone tuyến giáp thấp (suy giáp). Điều này gây ra các triệu chứng như: TSH Mệt mỏi Tăng cân Da khô Táo bón Nhạy cảm với lạnh hoặc khó giữ ấm Thiếu hụt hormone vỏ thượng thận (ACTH) Hormone này giúp tuyến thượng thận của bạn hoạt động bình thường và giúp cơ thể bạn phản ứng với căng thẳng. Các triệu chứng của tình trạng thiếu hụt ACTH bao gồm: ACTH Mệt mỏi nghiêm trọng Huyết áp thấp, có thể dẫn đến ngất xỉu Nhiễm trùng thường xuyên và kéo dài Buồn nôn, nôn hoặc đau bụng Lú lẫn Thiếu hụt hormone chống bài niệu (ADH) Hormone này, còn được gọi là vasopressin, giúp cơ thể bạn cân bằng lượng chất lỏng. Thiếu hụt ADH có thể gây ra một rối loạn gọi là đái tháo nhạt, có thể gây ra: ADH Đi tiểu nhiều Khát nước dữ dội Mất cân bằng điện giải Thiếu hụt prolactin Prolactin là hormone báo cho cơ thể biết khi nào bắt đầu sản xuất sữa mẹ. Nồng độ prolactin thấp có thể khiến phụ nữ gặp vấn đề trong việc sản xuất sữa để cho con bú."
Gerd,"Tôi có thể bị đau dạ dày, ợ nóng, loét lưỡi, nôn mửa, ho, đau ngực"
Bệnh vẩy nến,"Tôi có thể bị phát ban da, đau khớp, bong tróc da, phủ bụi bạc, vết lõm nhỏ trên móng tay, móng bị viêm"
Đau tim,"Tôi có thể bị nôn, khó thở, đau ngực"
Phản ứng thuốc,Tôi có thể có Da tôi đôi khi bong tróc vì phát ban. Tôi bị ốm thường xuyên hơn vì nó. Đôi khi tay tôi run và tôi bị run.
Đau tim,"Tôi có thể bị nôn, khó thở, đổ mồ hôi, đau ngực"
Bệnh xương khớp,"Tôi có thể bị đau khớp, đau cổ, đau đầu gối, đau khớp hông, sưng khớp, đau khi đi bộ"
thương hàn,"Tôi có thể bị ớn lạnh, nôn mửa, mệt mỏi, sốt cao, nhức đầu, buồn nôn, táo bón, đau bụng, tiêu chảy, vẻ mặt nhiễm độc (thương hàn), đau bụng"
Bệnh tiểu đường,Có thể là dạo này tôi cảm thấy rất khát và đói. Đôi khi tôi cũng cảm thấy rất mệt mỏi.
Viêm khớp,"Tôi có thể bị cứng cổ, sưng khớp, cứng khớp khi vận động, đau khi đi bộ"
Hạ đường huyết,"Tôi có thể bị nôn mửa, mệt mỏi, lo lắng, đổ mồ hôi, đau đầu, buồn nôn, nhìn mờ và méo mó, đói quá mức, nói lắp, cáu kỉnh, hồi hộp"
Viêm gan E,"Tôi có thể bị đau khớp, nôn mửa, mệt mỏi, sốt cao, da vàng, nước tiểu sẫm màu, buồn nôn, chán ăn, đau bụng, vàng mắt, suy gan cấp, hôn mê, chảy máu dạ dày"
Dị ứng,"Tôi có thể bị hắt hơi liên tục, run rẩy, chảy nước mắt"
Liệt (Xuất huyết não),"Tôi có thể bị nôn mửa, đau đầu, suy yếu một bên cơ thể, rối loạn cảm giác"
Cường giáp,"Tôi có thể bị mệt mỏi, thay đổi tâm trạng, sụt cân, bồn chồn, đổ mồ hôi, tiêu chảy, nhịp tim nhanh, đói quá mức, yếu cơ, cáu kỉnh, kinh nguyệt bất thường"
Gerd,"Tôi có thể bị đau dạ dày, ợ chua, loét lưỡi, ho, đau ngực"
Viêm gan do rượu,"Tôi có thể bị nôn mửa, da vàng, đau bụng, chướng bụng, tiền sử uống rượu, thừa dịch"
Bệnh tiểu đường,"Tôi có thể bị mệt mỏi, sụt cân, bồn chồn, lờ đờ, lượng đường trong máu không đều, thị lực mờ và méo mó, béo phì, đói quá mức, thèm ăn nhiều, tiểu nhiều"
Bệnh đa xơ cứng,"Tôi có thể bị tổn thương Myelin và hệ thần kinh Tổn thương Myelin và hệ thần kinh Tổn thương Myelin và hệ thần kinh Ở bệnh đa xơ cứng, lớp phủ bảo vệ trên các sợi thần kinh (myelin) trong hệ thần kinh trung ương bị tổn thương. Điều này tạo ra một tổn thương, tùy thuộc vào vị trí trong hệ thần kinh trung ương, có thể gây ra các triệu chứng như tê, đau hoặc ngứa ran ở một số bộ phận của cơ thể. Tổn thương Myelin và hệ thần kinh Tổn thương Myelin và hệ thần kinh Tổn thương Myelin và hệ thần kinh Tổn thương Myelin và hệ thần kinh Ở bệnh đa xơ cứng, lớp phủ bảo vệ trên các sợi thần kinh (myelin) trong hệ thần kinh trung ương bị tổn thương. Điều này tạo ra một tổn thương, tùy thuộc vào vị trí trong hệ thần kinh trung ương, có thể gây ra các triệu chứng như tê, đau hoặc ngứa ran ở một số bộ phận của cơ thể. Tổn thương Myelin và hệ thần kinh Tổn thương Myelin và hệ thần kinh Ở bệnh đa xơ cứng , lớp phủ bảo vệ trên các sợi thần kinh (myelin) trong hệ thần kinh trung ương bị tổn thương. Điều này tạo ra một tổn thương, tùy thuộc vào vị trí trong hệ thần kinh trung ương, có thể gây ra các triệu chứng như tê, đau hoặc ngứa ran ở một số bộ phận của cơ thể. Tổn thương myelin và hệ thần kinh Tổn thương myelin và hệ thần kinh Ở bệnh đa xơ cứng, lớp phủ bảo vệ trên các sợi thần kinh (myelin) trong hệ thần kinh trung ương bị tổn thương. Điều này tạo ra một tổn thương, tùy thuộc vào vị trí trong hệ thần kinh trung ương, có thể gây ra các triệu chứng như tê, đau hoặc ngứa ran ở một số bộ phận của cơ thể. Đóng Đóng Tổn thương myelin và hệ thần kinh Tổn thương myelin và hệ thần kinh Ở bệnh đa xơ cứng, lớp phủ bảo vệ trên các sợi thần kinh (myelin) trong hệ thần kinh trung ương bị tổn thương. Điều này tạo ra một tổn thương, tùy thuộc vào vị trí trong hệ thần kinh trung ương, có thể gây ra các triệu chứng như tê, đau hoặc ngứa ran ở một số bộ phận của cơ thể. Tổn thương myelin và hệ thần kinh Ở bệnh đa xơ cứng, lớp phủ bảo vệ trên các sợi thần kinh (myelin) trong hệ thần kinh trung ương bị tổn thương. Điều này tạo ra một tổn thương, tùy thuộc vào vị trí trong hệ thần kinh trung ương, có thể gây ra các triệu chứng như tê, đau hoặc ngứa ran ở một số bộ phận của cơ thể. Trong bệnh đa xơ cứng, lớp phủ bảo vệ trên các sợi thần kinh (myelin) trong hệ thần kinh trung ương bị tổn thương. Điều này tạo ra một tổn thương, tùy thuộc vào vị trí trong hệ thần kinh trung ương, có thể gây ra các triệu chứng như tê, đau hoặc ngứa ran ở một số bộ phận của cơ thể. Các dấu hiệu và triệu chứng của bệnh đa xơ cứng có thể khác nhau rất nhiều ở mỗi người và trong quá trình mắc bệnh tùy thuộc vào vị trí của các sợi thần kinh bị ảnh hưởng. Các triệu chứng phổ biến bao gồm: Tê hoặc yếu ở một hoặc nhiều chi, thường xảy ra ở một bên cơ thể tại một thời điểm Ngứa ran Cảm giác như bị điện giật xảy ra khi thực hiện một số chuyển động của cổ, đặc biệt là khi cúi cổ về phía trước (dấu hiệu Lhermitte) Thiếu phối hợp Dáng đi không vững hoặc không thể đi lại Mất thị lực một phần hoặc toàn bộ, thường ở một mắt tại một thời điểm, thường kèm theo đau khi chuyển động mắt Nhìn đôi kéo dài Nhìn mờ Chóng mặt Các vấn đề về chức năng tình dục, ruột và bàng quang Mệt mỏi Nói lắp Các vấn đề về nhận thức Rối loạn tâm trạng"
mụn trứng cá,"Tôi có thể bị phát ban da, mụn đầu đen, mụn nhọt"
Viêm khớp,"Tôi có thể bị yếu cơ, cứng cổ, sưng khớp, cứng khớp khi vận động, đau khi đi bộ"
Sốt rét,"Tôi có thể bị ớn lạnh, sốt cao, đổ mồ hôi, đau đầu, buồn nôn, tiêu chảy, đau cơ"
Bệnh bạch cầu lymphocytic cấp tính,"Tôi có thể có Các dấu hiệu và triệu chứng của bệnh bạch cầu lymphocytic cấp tính có thể bao gồm: Chảy máu nướu răng Đau xương Sốt Nhiễm trùng thường xuyên Chảy máu mũi thường xuyên hoặc nghiêm trọng Các khối u do sưng hạch bạch huyết ở và xung quanh cổ, nách, bụng hoặc bẹn Da nhợt nhạt Khó thở Yếu, mệt mỏi hoặc giảm năng lượng nói chung"
Viêm phổi,"Có thể là tôi cảm thấy rất ốm gần đây. Tôi bị ớn lạnh và luôn mệt mỏi. Tôi bị ho không khỏi. Thật khó thở khi tôi ho và ngực tôi đau. Tôi cũng ho ra đờm gỉ sét , rất kinh tởm."
Hạ đường huyết,"Tôi có thể bị nôn mửa, mệt mỏi, lo lắng, đổ mồ hôi, đau đầu, buồn nôn, nhìn mờ và méo mó, đói quá mức, môi khô và ngứa ran, nói lắp, cáu kỉnh, hồi hộp."
Bệnh ứ mật mãn tính,"Tôi có thể bị ngứa, nôn, da vàng, buồn nôn, chán ăn, đau bụng, vàng mắt"
Sốt xuất huyết,Tôi có thể đã bị sốt cao trong vài ngày qua. Tôi cũng cảm thấy yếu và đau cơ. Tôi không thể làm việc cả ngày vì điều này.
Chứng dị dạng lõm ngực bẩm sinh,"Tôi có thể có Đối với nhiều người bị lõm ngực, dấu hiệu hoặc triệu chứng duy nhất là một vết lõm nhẹ ở ngực. Ở một số người, độ sâu của vết lõm trở nên tồi tệ hơn vào đầu tuổi vị thành niên và có thể tiếp tục trở nên tồi tệ hơn vào tuổi trưởng thành. Trong những trường hợp lõm ngực nghiêm trọng, xương ức có thể chèn ép phổi và tim. Các dấu hiệu và triệu chứng có thể bao gồm: Giảm khả năng chịu đựng khi tập thể dục Nhịp tim nhanh hoặc hồi hộp Nhiễm trùng đường hô hấp tái phát Thở khò khè hoặc ho Đau ngực Tiếng thổi tim Mệt mỏi Chóng mặt"
Bệnh viêm vùng chậu,"Tôi có thể có Các dấu hiệu và triệu chứng của bệnh viêm vùng chậu có thể nhẹ và khó nhận biết. Một số phụ nữ không có bất kỳ dấu hiệu hoặc triệu chứng nào. Khi các dấu hiệu và triệu chứng của PID xuất hiện, chúng thường bao gồm: PID Đau từ nhẹ đến dữ dội ở vùng bụng dưới và vùng chậu Khí hư bất thường hoặc nhiều có thể có mùi khó chịu Chảy máu bất thường từ âm đạo, đặc biệt là trong hoặc sau khi quan hệ tình dục, hoặc giữa các kỳ kinh Đau khi quan hệ tình dục Sốt, đôi khi kèm theo ớn lạnh Đi tiểu đau, thường xuyên hoặc khó khăn"
